timestamp_ms,frame_time_ms,fps,draw_calls,render_components_ms,poll_events_ms,begin_frame_ms,end_frame_ms,profiler_ui_ms,text_update_ms
949.625,7.441,134.389,15,0.770,0.009,0.024,0.256,6.349,6.256
957.080,4.325,231.225,15,0.729,0.011,0.024,0.250,3.277,3.192
961.418,6.616,151.156,15,0.698,0.010,0.024,0.272,5.578,5.491
968.047,7.474,133.794,15,0.741,0.010,0.025,0.264,6.402,6.312
975.534,7.527,132.863,15,0.740,0.009,0.024,0.274,6.445,6.352
983.073,7.747,129.089,15,0.721,0.009,0.024,0.257,6.702,6.606
990.833,3.713,269.316,15,0.721,0.010,0.025,0.274,2.652,2.569
994.559,6.543,152.845,15,0.689,0.010,0.024,0.258,5.526,5.440
1001.115,7.606,131.479,15,0.738,0.010,0.026,0.274,6.524,6.434
1008.735,8.046,124.286,15,0.693,0.011,0.026,0.265,7.015,6.895
1016.808,7.661,130.531,15,0.884,0.020,0.050,0.423,6.218,6.124
1024.484,8.190,122.100,15,0.702,0.010,0.027,0.278,7.137,7.026
1032.689,6.990,143.061,15,0.695,0.011,0.030,0.265,5.950,5.849
1039.695,5.180,193.056,15,0.780,0.011,0.028,0.275,4.047,3.955
1044.888,7.352,136.013,15,0.769,0.009,0.025,0.278,6.236,6.136
1052.253,7.277,137.411,15,0.741,0.011,0.025,0.280,6.179,6.084
1059.547,7.064,141.556,15,0.713,0.010,0.027,0.276,6.002,5.901
1066.625,7.410,134.948,15,0.702,0.010,0.024,0.266,6.377,6.287
1074.048,4.473,223.563,15,0.686,0.010,0.025,0.264,3.456,3.372
1078.536,6.116,163.504,15,0.734,0.010,0.026,0.272,5.037,4.943
1084.667,8.260,121.060,15,0.728,0.011,0.027,0.278,7.182,7.079
1092.942,7.249,137.949,15,0.710,0.010,0.027,0.260,6.208,6.102
1100.204,8.650,115.613,15,0.692,0.009,0.024,0.257,7.634,7.540
1108.871,9.511,105.141,15,0.767,0.018,0.042,0.286,8.346,8.249
1118.400,7.136,140.134,15,0.573,0.025,0.044,0.317,6.120,6.028
1125.554,8.555,116.894,15,0.836,0.022,0.041,0.321,7.278,7.180
1134.128,8.569,116.705,15,0.854,0.030,0.052,0.318,7.253,7.144
1142.712,7.471,133.845,15,0.790,0.015,0.037,0.311,6.278,6.188
1150.196,7.651,130.709,15,0.740,0.011,0.030,0.279,6.555,6.441
1157.860,4.964,201.462,15,0.683,0.010,0.025,0.265,3.947,3.860
1162.836,5.826,171.654,15,0.852,0.010,0.025,0.269,4.635,4.543
1168.675,7.916,126.323,15,0.681,0.010,0.026,0.269,6.898,6.808
1176.605,6.342,157.672,15,0.741,0.009,0.024,0.268,5.268,5.181
1182.961,8.311,120.322,15,0.729,0.010,0.025,0.265,7.249,7.154
1191.285,7.660,130.542,15,0.744,0.009,0.029,0.275,6.569,6.474
1198.961,8.875,112.682,15,0.810,0.015,0.037,0.296,7.672,7.518
1207.854,7.693,129.994,15,0.785,0.014,0.038,0.284,6.527,6.430
1215.560,7.635,130.983,15,0.727,0.010,0.026,0.261,6.574,6.466
1223.223,5.773,173.233,15,0.746,0.018,0.044,0.289,4.632,4.538
1229.009,6.970,143.465,15,0.862,0.010,0.025,0.284,5.756,5.663
1235.993,7.792,128.344,15,0.729,0.010,0.025,0.258,6.736,6.641
1243.797,6.111,163.630,15,0.717,0.010,0.025,0.269,5.058,4.965
1249.922,6.911,144.688,15,0.704,0.010,0.025,0.273,5.865,5.779
1256.847,8.323,120.152,15,0.727,0.011,0.027,0.273,7.249,7.153
1265.183,5.145,194.364,15,0.704,0.010,0.026,0.269,4.102,4.009
1270.342,6.497,153.907,15,0.737,0.010,0.024,0.269,5.426,5.338
1276.852,8.285,120.702,15,0.707,0.010,0.024,0.255,7.255,7.159
1285.151,6.413,155.944,15,0.753,0.010,0.024,0.287,5.306,5.217
1291.577,7.702,129.839,15,0.736,0.009,0.025,0.266,6.633,6.543
1299.292,7.769,128.725,15,0.710,0.011,0.051,0.270,6.689,6.594
1307.110,7.976,125.382,15,0.711,0.011,0.030,0.269,6.919,6.827
1315.099,4.999,200.027,15,0.690,0.016,0.025,0.272,3.962,3.875
1320.111,7.868,127.101,15,0.683,0.010,0.025,0.264,6.851,6.761
1327.992,7.958,125.658,15,0.738,0.010,0.024,0.267,6.884,6.790
1335.964,7.474,133.802,15,0.682,0.011,0.027,0.268,6.449,6.359
1343.451,5.288,189.111,15,0.692,0.010,0.025,0.274,4.252,4.172
1348.752,4.923,203.120,15,0.681,0.009,0.023,0.253,3.923,3.836
1353.688,8.321,120.179,15,0.728,0.010,0.024,0.266,7.261,7.167
1362.023,6.461,154.787,15,0.726,0.010,0.025,0.269,5.398,5.313
1368.496,8.188,122.124,15,0.700,0.010,0.025,0.277,7.144,7.032
1376.698,8.849,113.009,15,0.675,0.010,0.024,0.260,7.847,7.749
1385.561,7.499,133.347,15,0.759,0.013,0.028,0.272,6.387,6.191
1393.094,9.413,106.232,15,1.079,0.040,0.082,0.494,7.621,7.520
1402.524,7.979,125.335,15,0.781,0.019,0.039,0.290,6.805,6.660
1410.531,8.879,112.622,15,0.748,0.025,0.040,0.287,7.735,7.629
1419.426,7.644,130.826,15,0.442,0.020,0.037,0.487,6.611,6.506
1427.086,6.272,159.449,15,0.759,0.016,0.032,0.281,5.145,5.033
1433.372,6.832,146.366,15,0.786,0.015,0.030,0.283,5.676,5.585
1440.220,5.763,173.533,15,0.718,0.014,0.030,0.313,4.648,4.559
1445.997,5.725,174.682,15,0.444,0.013,0.026,0.329,4.874,4.778
1451.736,6.986,143.150,15,0.681,0.013,0.027,0.277,5.951,5.824
1458.736,6.896,145.018,15,0.783,0.012,0.025,0.280,5.760,5.670
1465.645,7.695,129.952,15,0.729,0.010,0.025,0.291,6.603,6.506
1473.354,5.305,188.493,15,0.682,0.010,0.024,0.295,4.259,4.172
1478.673,6.702,149.217,15,0.684,0.010,0.024,0.279,5.670,5.582
1485.388,7.479,133.705,15,0.716,0.010,0.025,0.274,6.421,6.318
1492.881,6.949,143.898,15,0.681,0.010,0.024,0.279,5.921,5.812
1499.843,7.410,134.951,15,0.728,0.010,0.024,0.263,6.352,6.258
1507.269,9.367,106.760,15,0.703,0.011,0.031,0.276,8.308,8.169
1516.663,8.785,113.826,15,1.034,0.021,0.046,0.336,7.293,7.165
1525.463,7.022,142.404,15,0.729,0.010,0.029,0.283,5.935,5.838
1532.500,4.935,202.637,15,0.718,0.011,0.031,0.288,3.849,3.758
1537.450,5.934,168.534,15,0.925,0.011,0.028,0.266,4.668,4.575
1543.398,7.196,138.958,15,0.719,0.010,0.028,0.279,6.124,6.023
1550.609,6.255,159.866,15,0.701,0.010,0.028,0.265,5.216,5.128
1556.879,5.562,179.800,15,0.745,0.011,0.027,0.280,4.462,4.366
1562.455,6.948,143.917,15,0.980,0.010,0.029,0.281,5.614,5.519
1569.418,7.174,139.396,15,0.701,0.011,0.029,0.278,6.117,5.994
1576.621,7.345,136.143,15,1.115,0.019,0.049,0.416,5.681,5.574
1583.979,7.682,130.178,15,0.746,0.010,0.027,0.286,6.579,6.457
1591.682,11.838,84.476,15,0.764,0.013,0.039,0.314,10.659,10.486
1603.556,10.245,97.604,15,1.774,0.047,0.123,0.531,7.617,7.440
1613.824,9.024,110.814,15,0.813,0.027,0.047,0.293,7.783,7.674
1622.861,8.361,119.597,15,0.448,0.011,0.031,0.261,7.575,7.482
1631.236,7.025,142.352,15,0.723,0.010,0.024,0.270,5.965,5.874
1638.273,7.481,133.672,15,0.825,0.010,0.030,0.315,6.260,6.057
1645.784,7.858,127.263,15,0.865,0.021,0.045,0.339,6.536,6.425
1653.656,8.453,118.302,15,0.767,0.010,0.029,0.280,7.333,7.231
1662.122,6.232,160.471,15,0.752,0.010,0.028,0.306,5.102,5.007
1668.367,6.836,146.274,15,0.753,0.010,0.025,0.292,5.723,5.637
1675.216,7.600,131.579,15,0.741,0.010,0.026,0.271,6.520,6.426
1682.830,7.513,133.099,15,0.750,0.010,0.028,0.271,6.418,6.330
1690.357,4.789,208.794,15,0.756,0.010,0.029,0.279,3.681,3.581
1695.160,6.840,146.203,15,0.733,0.010,0.026,0.273,5.764,5.675
1702.013,8.683,115.165,15,0.877,0.010,0.026,0.333,7.400,7.230
1710.714,6.508,153.662,15,0.751,0.014,0.033,0.263,5.407,5.322
1717.235,7.675,130.299,15,0.741,0.010,0.025,0.266,6.595,6.502
1724.923,6.696,149.332,15,0.786,0.009,0.025,0.266,5.577,5.487
1731.633,4.892,204.434,15,0.739,0.009,0.025,0.257,3.829,3.742
1736.538,6.216,160.872,15,0.722,0.010,0.024,0.259,5.170,5.084
1742.767,8.264,121.001,15,0.700,0.009,0.025,0.263,7.234,7.142
1751.045,7.089,141.066,15,0.735,0.010,0.024,0.254,6.034,5.947
1758.147,10.071,99.299,15,1.063,0.009,0.025,0.361,8.571,8.377
1768.245,6.924,144.425,15,0.944,0.019,0.067,0.346,5.488,5.392
1775.182,7.266,137.627,15,0.729,0.010,0.026,0.275,6.192,6.074
1782.461,7.410,134.948,15,0.723,0.010,0.025,0.283,6.336,6.228
1789.897,3.800,263.160,15,0.737,0.010,0.027,0.265,2.727,2.644
1793.711,6.537,152.979,15,0.731,0.010,0.024,0.267,5.474,5.358
1800.261,7.447,134.286,15,0.658,0.010,0.024,0.274,6.419,6.308
1807.720,7.677,130.256,15,0.706,0.010,0.025,0.260,6.643,6.552
1815.411,4.907,203.771,15,0.739,0.010,0.025,0.273,3.829,3.738
1820.331,6.090,164.196,15,0.713,0.009,0.024,0.269,5.042,4.959
1826.435,7.117,140.508,15,0.734,0.010,0.025,0.278,6.037,5.948
1833.566,7.641,130.880,15,0.750,0.010,0.024,0.264,6.560,6.448
1841.219,7.549,132.472,15,0.740,0.010,0.024,0.268,6.475,6.385
1848.781,3.741,267.321,15,0.730,0.009,0.024,0.256,2.689,2.604
1852.535,6.065,164.890,15,0.707,0.010,0.023,0.260,5.031,4.948
1858.612,7.643,130.834,15,0.728,0.010,0.023,0.260,6.590,6.496
1866.269,7.398,135.174,15,0.704,0.009,0.024,0.264,6.348,6.257
1873.680,5.485,182.313,15,0.731,0.009,0.024,0.264,4.424,4.331
1879.178,6.191,161.530,15,0.882,0.010,0.026,0.266,4.975,4.885
1885.382,7.441,134.396,15,0.721,0.010,0.025,0.293,6.359,6.254
1892.836,8.546,117.017,15,1.305,0.014,0.032,0.590,6.537,6.420
1901.397,7.573,132.043,15,0.768,0.015,0.033,0.294,6.423,6.330
1908.984,8.057,124.115,15,0.703,0.012,0.027,0.277,7.002,6.907
1917.055,6.284,159.127,15,0.712,0.011,0.026,0.273,5.226,5.118
1923.354,3.885,257.417,15,0.715,0.011,0.027,0.294,2.801,2.719
1927.251,7.597,131.627,15,0.765,0.010,0.025,0.286,6.472,6.378
1934.861,8.834,113.197,15,0.762,0.010,0.025,0.282,7.720,7.624
1943.709,6.784,147.410,15,0.746,0.010,0.024,0.271,5.698,5.608
1950.506,6.958,143.718,15,0.724,0.010,0.027,0.291,5.870,5.777
1957.477,7.583,131.880,15,0.824,0.011,0.027,0.288,6.396,6.296
1965.075,3.892,256.926,15,0.754,0.011,0.030,0.280,2.780,2.695
1968.980,8.696,114.998,15,0.770,0.010,0.025,0.302,7.555,7.451
1977.690,6.708,149.078,15,0.765,0.010,0.025,0.280,5.593,5.496
1984.411,7.231,138.291,15,0.716,0.010,0.026,0.286,6.159,6.055
1991.656,8.043,124.338,15,0.761,0.011,0.027,0.276,6.931,6.823
1999.713,4.613,216.759,15,0.745,0.012,0.030,0.286,3.502,3.398
2004.670,22.420,44.603,15,2.943,0.065,0.183,0.864,18.179,17.803
2027.126,12.938,77.290,15,1.810,0.056,0.162,0.837,9.885,9.631
2040.093,8.904,112.314,15,0.748,0.035,0.074,0.383,7.571,7.472
2049.014,7.263,137.686,15,0.507,0.021,0.041,0.287,6.363,6.272
2056.293,8.799,113.646,15,0.727,0.026,0.033,0.303,7.671,7.560
2065.107,6.795,147.162,15,0.746,0.017,0.031,0.281,5.681,5.592
2071.916,7.026,142.322,15,0.757,0.014,0.030,0.276,5.912,5.826
2078.956,7.226,138.380,15,0.709,0.013,0.028,0.274,6.167,6.077
2086.196,5.494,182.011,15,0.707,0.013,0.029,0.275,4.434,4.349
2091.704,6.566,152.298,15,0.695,0.012,0.029,0.268,5.525,5.440
2098.284,4.776,209.362,15,0.712,0.012,0.055,0.290,3.672,3.574
2103.074,6.167,162.153,15,0.763,0.011,0.028,0.333,4.995,4.908
2109.255,6.304,158.626,15,0.729,0.010,0.029,0.291,5.200,5.104
2115.574,4.426,225.917,15,0.467,0.011,0.029,0.281,3.602,3.510
2120.013,6.128,163.192,15,0.694,0.010,0.027,0.266,5.098,5.006
2126.154,5.849,170.955,15,0.749,0.010,0.026,0.274,4.758,4.647
2132.018,4.641,215.478,15,0.683,0.011,0.029,0.266,3.618,3.527
2136.672,6.182,161.765,15,0.442,0.010,0.026,0.265,5.405,5.311
2142.866,6.279,159.258,15,0.682,0.010,0.026,0.272,5.256,5.154
2149.160,4.543,220.143,15,0.596,0.009,0.026,0.267,3.611,3.520
2153.717,4.804,208.153,15,0.723,0.010,0.026,0.255,3.758,3.654
2158.534,6.285,159.111,15,0.664,0.010,0.025,0.284,5.268,5.173
2164.833,4.593,217.744,15,0.732,0.011,0.027,0.274,3.515,3.427
2169.438,5.799,172.437,15,0.742,0.009,0.026,0.300,4.688,4.593
2175.252,8.851,112.987,15,0.703,0.010,0.028,0.470,7.597,7.412
2184.123,6.917,144.575,15,0.796,0.018,0.050,0.368,5.631,5.535
2191.053,6.962,143.629,15,0.727,0.011,0.027,0.283,5.875,5.765
2198.031,5.210,191.920,15,0.838,0.018,0.044,0.312,3.943,3.846
2203.256,7.686,130.100,15,0.781,0.012,0.031,0.309,6.484,6.371
2210.971,5.471,182.775,15,0.741,0.010,0.026,0.286,4.371,4.249
2216.469,7.955,125.709,15,1.078,0.018,0.056,0.454,6.278,6.119
2224.437,4.929,202.879,15,0.711,0.010,0.025,0.279,3.869,3.778
2229.380,6.155,162.461,15,0.849,0.010,0.025,0.288,4.949,4.858
2235.549,6.960,143.686,15,0.701,0.010,0.025,0.262,5.908,5.797
2242.574,6.669,149.947,15,0.639,0.020,0.052,0.400,5.504,5.393
2249.257,7.042,142.015,15,0.740,0.010,0.027,0.294,5.930,5.823
2256.318,3.645,274.371,15,0.690,0.011,0.027,0.273,2.608,2.515
2259.976,6.178,161.856,15,0.760,0.010,0.025,0.275,5.073,4.931
2266.168,4.715,212.086,15,0.701,0.010,0.024,0.262,3.686,3.591
2270.896,6.743,148.310,15,0.890,0.010,0.024,0.271,5.515,5.420
2277.652,5.883,169.970,15,0.733,0.010,0.025,0.273,4.809,4.724
2283.548,6.732,148.539,15,0.716,0.010,0.025,0.281,5.667,5.576
2290.293,4.663,214.453,15,0.708,0.010,0.030,0.316,3.565,3.479
2294.969,6.695,149.371,15,0.718,0.010,0.024,0.268,5.641,5.551
2301.678,6.555,152.552,15,0.711,0.010,0.025,0.256,5.522,5.433
2308.246,6.657,150.216,15,0.724,0.010,0.024,0.270,5.596,5.502
2314.917,4.029,248.218,15,0.716,0.009,0.024,0.262,2.985,2.890
2318.959,6.089,164.232,15,0.832,0.010,0.027,0.325,4.854,4.765
2325.066,7.769,128.713,15,0.769,0.017,0.038,0.300,6.595,6.461
2332.880,4.822,207.374,15,0.540,0.031,0.053,0.289,3.846,3.754
2337.717,6.433,155.449,15,0.757,0.018,0.035,0.307,5.275,5.171
2344.165,6.864,145.678,15,0.802,0.015,0.027,0.304,5.677,5.579
2351.046,6.244,160.143,15,0.759,0.017,0.034,0.304,5.085,4.986
2357.305,5.593,178.793,15,1.061,0.048,0.031,0.402,4.001,3.820
2362.919,5.957,167.877,15,0.987,0.017,0.038,0.411,4.452,4.336
2368.889,6.752,148.108,15,0.753,0.010,0.025,0.288,5.642,5.540
2375.657,7.414,134.887,15,0.780,0.012,0.028,0.298,6.260,6.158
2383.084,6.996,142.946,15,0.733,0.010,0.026,0.276,5.915,5.791
2390.094,4.483,223.085,15,0.825,0.010,0.029,0.304,3.280,3.179
2394.590,5.433,184.063,15,0.841,0.010,0.028,0.291,4.226,4.112
2400.044,9.628,103.868,15,1.518,0.015,0.042,0.566,7.418,7.258
2409.693,7.193,139.029,15,0.710,0.016,0.044,0.410,5.959,5.853
2416.898,6.236,160.361,15,0.716,0.010,0.026,0.278,5.173,5.078
2423.147,5.043,198.283,15,0.730,0.011,0.025,0.275,3.969,3.870
2428.203,6.244,160.155,15,0.720,0.009,0.024,0.267,5.191,5.100
2434.461,6.375,156.855,15,0.694,0.010,0.026,0.273,5.338,5.238
2440.851,4.264,234.533,15,0.726,0.010,0.026,0.270,3.198,3.110
2445.128,6.269,159.507,15,0.702,0.009,0.024,0.271,5.230,5.142
2451.412,6.316,158.335,15,0.695,0.009,0.025,0.300,5.254,5.158
2457.742,4.748,210.606,15,0.741,0.010,0.027,0.272,3.662,3.577
2462.504,5.461,183.107,15,0.872,0.010,0.024,0.280,4.242,4.145
2467.979,6.431,155.496,15,0.762,0.010,0.025,0.273,5.328,5.241
2474.423,4.192,238.544,15,0.707,0.010,0.025,0.281,3.135,3.042
2478.629,6.558,152.484,15,0.723,0.010,0.025,0.266,5.501,5.407
2485.200,6.440,155.276,15,0.701,0.010,0.025,0.272,5.400,5.307
2491.654,8.036,124.445,15,0.736,0.010,0.025,0.264,6.968,6.850
2499.703,4.219,236.998,15,0.719,0.009,0.027,0.283,3.148,3.031
2503.936,5.734,174.397,15,0.728,0.010,0.024,0.272,4.667,4.580
2509.683,6.209,161.053,15,0.693,0.010,0.025,0.281,5.169,5.079
2515.906,4.364,229.136,15,0.448,0.010,0.024,0.269,3.582,3.496
2520.284,5.539,180.531,15,0.671,0.009,0.029,0.263,4.535,4.449
2525.836,8.049,124.236,15,0.450,0.010,0.026,0.281,7.247,7.107
2533.917,7.510,133.151,15,1.009,0.033,0.078,0.371,5.939,5.827
2541.446,7.536,132.688,15,0.955,0.020,0.049,0.342,6.109,5.994
2548.998,7.782,128.508,15,0.834,0.015,0.042,0.357,6.482,6.306
2556.796,4.526,220.961,15,0.773,0.012,0.032,0.277,3.391,3.284
2561.335,6.563,152.380,15,0.687,0.010,0.027,0.278,5.528,5.431
2567.911,6.387,156.565,15,0.729,0.010,0.025,0.275,5.315,5.207
2574.315,4.934,202.670,15,0.488,0.010,0.026,0.280,4.093,3.998
2579.262,4.542,220.184,15,0.792,0.010,0.027,0.302,3.364,3.273
2583.818,6.032,165.780,15,0.751,0.011,0.027,0.283,4.926,4.835
2589.863,3.420,292.431,15,0.687,0.010,0.027,0.271,2.391,2.309
2593.296,5.908,169.270,15,0.715,0.010,0.026,0.288,4.832,4.742
2599.217,7.204,138.817,15,0.699,0.010,0.026,0.262,6.172,5.983
2606.437,5.342,187.201,15,0.728,0.011,0.029,0.291,4.241,4.130
2611.806,5.969,167.536,15,0.691,0.018,0.040,0.275,4.909,4.814
2617.791,6.570,152.198,15,0.717,0.012,0.027,0.267,5.513,5.396
2624.375,4.480,223.203,15,0.718,0.010,0.025,0.330,3.365,3.275
2628.869,4.637,215.661,15,0.780,0.010,0.024,0.302,3.486,3.402
2633.519,6.153,162.534,15,0.746,0.010,0.026,0.266,5.069,4.965
2639.699,4.358,229.483,15,0.743,0.018,0.028,0.275,3.252,3.167
2644.070,6.738,148.404,15,0.724,0.010,0.024,0.272,5.676,5.583
2650.822,6.564,152.343,15,0.876,0.010,0.025,0.342,5.272,5.093
2657.412,8.290,120.629,15,0.887,0.019,0.048,0.430,6.841,6.685
2665.727,4.349,229.933,15,0.912,0.021,0.056,0.295,3.004,2.913
2670.089,6.188,161.590,15,0.792,0.010,0.025,0.267,5.059,4.968
2676.293,6.465,154.678,15,0.689,0.010,0.029,0.290,5.411,5.288
2682.776,4.319,231.509,15,0.709,0.011,0.025,0.298,3.241,3.153
2687.108,6.334,157.869,15,0.422,0.010,0.025,0.445,5.399,5.309
2693.457,5.556,179.983,15,0.722,0.011,0.027,0.275,4.487,4.383
2699.026,4.370,228.846,15,0.760,0.010,0.026,0.270,3.270,3.181
2703.409,5.565,179.685,15,0.684,0.010,0.024,0.271,4.544,4.459
2708.987,5.599,178.591,15,0.664,0.010,0.025,0.261,4.606,4.502
2714.614,5.174,193.289,15,0.697,0.016,0.024,0.264,4.139,4.043
2719.801,5.065,197.438,15,0.702,0.010,0.025,0.265,4.030,3.947
2724.879,4.369,228.899,15,0.747,0.010,0.024,0.258,3.298,3.210
2729.261,4.249,235.352,15,0.800,0.010,0.024,0.280,3.099,3.018
2733.524,4.093,244.292,15,0.434,0.010,0.025,0.253,3.337,3.250
2737.630,4.586,218.051,15,0.859,0.010,0.024,0.276,3.385,3.301
2742.229,3.426,291.896,15,0.718,0.010,0.024,0.259,2.382,2.300
2745.668,5.888,169.846,15,0.747,0.009,0.025,0.277,4.798,4.706
2751.569,5.827,171.606,15,0.702,0.010,0.025,0.268,4.789,4.699
2757.409,4.721,211.828,15,0.669,0.010,0.024,0.287,3.698,3.608
2762.143,5.425,184.325,15,0.440,0.011,0.025,0.267,4.650,4.565
2767.581,5.701,175.412,15,0.681,0.009,0.026,0.274,4.679,4.594
2773.296,4.313,231.878,15,0.703,0.009,0.030,0.298,3.240,3.152
2777.621,5.870,170.343,15,0.700,0.010,0.024,0.260,4.844,4.730
